word_id	newgsl_line	newgsl_word	newgsl_pos	enwk_pos	sseq	en_hw	enwk_page	enwk_def	pos_diff	pos_comment	en_hw_diff	newgsl_file_rank	newgsl_freq_rank
NBG_a_x	A (x, 5)	a	x	Article	1	an	an/translations		Y		Y	1	5
NBG_a lot/lots (of)_x	A LOT/LOTS (OF) (x, 369)	a lot/lots (of)	x	Pronoun	1	a lot	a lot		Y		Y	2	369
NBG_abandon_v	abandon (v, 1881)	abandon	v	Verb	1	abandon	abandon					3	1881
NBG_ability_n	ability (n, 800)	ability	n	Noun	1	ability	ability					4	800
NBG_able_adj	ABLE (adj, 252)	able	adj	Adjective	1	able	able					5	252
NBG_about_adv	ABOUT (adv, 151)	about	adv	Adverb	1	about	about					6	151
NBG_about_con	ABOUT (con, 60)	about	con	Preposition	1	about	about					7	60
NBG_above_adj	above (adj, 2259)	above	adj	Adjective	1	above	above					8	2259
NBG_above_con	above (con, 509)	above	con	Preposition	1	above	above					9	509
NBG_absence_n	absence (n, 1428)	absence	n	Noun	1	absence	absence					10	1428
NBG_absolute_adj	absolute (adj, 2348)	absolute	adj	Adjective	1	absolute	absolute					11	2348
NBG_absolutely_adv	absolutely (adv, 1390)	absolutely	adv	Adverb	1	absolutely	absolutely					12	1390
NBG_abuse_n	abuse (n, 1965)	abuse	n	Noun	1	abuse	abuse					13	1965
NBG_academic_adj	academic (adj, 1971)	academic	adj	Adjective	1	academic	academic					14	1971
NBG_accept_v	accept (v, 541)	accept	v	Verb	1	accept	accept					15	541
NBG_acceptable_adj	acceptable (adj, 2442)	acceptable	adj	Adjective	1	acceptable	acceptable					16	2442
NBG_access_n	access (n, 871)	access	n	Noun	1	access	access					17	871
NBG_accident_n	accident (n, 1426)	accident	n	Noun	1	accident	accident					18	1426
NBG_accommodation_n	accommodation (n, 2342)	accommodation	n	Noun	1	accommodation	accommodation					19	2342
NBG_accompany_v	accompany (v, 1499)	accompany	v	Verb	1	accompany	accompany					20	1499
NBG_according to_con	ACCORDING TO (con, 410)	according to	con	Preposition	1	according to	according to					21	410
NBG_account_n	account (n, 508)	account	n	Noun	1	account	account					22	508
NBG_account_v	account (v, 2141)	account	v	Verb	1	account	account					23	2141
NBG_accurate_adj	accurate (adj, 2043)	accurate	adj	Adjective	1	accurate	accurate					24	2043
NBG_accuse_v	accuse (v, 2028)	accuse	v	Verb	1	accuse	accuse					25	2028
NBG_achieve_v	achieve (v, 569)	achieve	v	Verb	1	achieve	achieve					26	569
NBG_achievement_n	achievement (n, 1858)	achievement	n	Noun	1	achievement	achievement					27	1858
NBG_acid_n	acid (n, 2460)	acid	n	Noun	1	acid	acid					28	2460
NBG_acknowledge_v	acknowledge (v, 1887)	acknowledge	v	Verb	1	acknowledge	acknowledge					29	1887
NBG_acquire_v	acquire (v, 1369)	acquire	v	Verb	1	acquire	acquire					30	1369
NBG_across_con	ACROSS (con, 372)	across	con	Preposition	1	across	across					31	372
NBG_act_n	act (n, 676)	act	n	Noun	1	act	act					32	676
NBG_act_v	act (v, 762)	act	v	Verb	1	act	act					33	762
NBG_action_n	ACTION (n, 406)	action	n	Noun	1	action	action					34	406
